state,value
Alabama,15.7
Alaska,38.3
Arizona,38.9
Arkansas,23.7
California,30.8
Colorado,47
Connecticut,33.2
Delaware,24.2
Florida,30
Georgia,30.5
Hawaii,31.6
Idaho,31.4
Illinois,35.6
Indiana,24
Iowa,29.3
Kansas,27.9
Kentucky,22.5
Louisiana,16
Maine,38.7
Maryland,38.8
Massachusetts,28.5
Michigan,35.8
Minnesota,31.8
Mississippi,13.8
Missouri,24.9
Montana,30
Nebraska,28.6
Nevada,52.4
New Hampshire,34.2
New Jersey,30.8
New Mexico,35.7
New York,32.4
North Carolina,25.3
North Dakota,21.3
Ohio,26.5
Oklahoma,21.5
Oregon,40
Pennsylvania,26.5
Rhode Island,38.1
South Carolina,15.9
South Dakota,23.8
Tennessee,15.9
Texas,23.8
Utah,24
Vermont,40
Virginia,26.4
Washington,41.5
West Virginia,14.2
Wisconsin,27.3
Wyoming,15.6