state,value
Alaska,31.7
Arizona,40.0
Alabama, 20.0
Arkansas,19.3
California,24.2
Colorado,38.0
Connecticut,27.3
Delaware,21.0
Florida,26.3
Georgia,26.7
Hawaii,28.9
Idaho,30.5
Illinois,35.6
Indiana,20.0
Iowa,23.3
Kansas,28.5 
Kentucky,16.7
Louisiana,14.6
Maine,33.9
Maryland,32.4
Massachusetts,24.5
Michigan,25.0
Minnesota,32.3
Mississippi,14.9
Missouri,23.4
Montana,28.0
Nebraska,26.5
Nevada,38.1
New Hampshire,28.8
New Jersey,30.8
New Mexico,30.4
New York,28.2
North Carolina,24.7
North Dakota,18.4
Ohio,22.0
Oklahoma,14.1
Oregon,33.3
Pennsylvania,19.4
Rhode Island,31.9
South Carolina,15.9
South Dakota,19.0
Tennessee,15.9
Texas,20.4
Utah,19.2
Vermont,40.0
Virginia,27.1
Washington,37.4
West Virginia,14.9
Wisconsin,24.2
Wyoming,11.1